<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20160502;0;64.8255000;65.3100000;61.8795000;65.1700000;96793
USDRUB;D;20160503;0;65.2655000;66.8021000;64.4250000;66.0461000;138017
USDRUB;D;20160504;0;66.3921000;67.5745000;64.7997000;66.4810000;474645
USDRUB;D;20160505;0;66.5976000;66.7649000;65.1687000;65.5182000;517136
USDRUB;D;20160506;0;65.7990000;66.9190000;64.6350000;65.3483000;449129
USDRUB;D;20160509;0;65.8445000;66.6776000;64.7440000;65.6630000;195682
USDRUB;D;20160510;0;66.5721000;67.1345000;65.6129000;66.0510000;448183
USDRUB;D;20160511;0;66.1585000;66.3848000;64.0631000;64.8450000;423764
USDRUB;D;20160512;0;64.9117000;65.5260000;63.0851000;63.0851000;472236
USDRUB;D;20160513;0;64.1625000;66.4285000;63.0281000;65.3860000;472002
USDRUB;D;20160516;0;66.6080000;66.6099000;64.2820000;64.7940000;404813
USDRUB;D;20160517;0;64.9321000;65.0671000;63.8832000;64.5270000;440706
USDRUB;D;20160518;0;64.7485000;66.1645000;64.2900000;65.9610000;472654
USDRUB;D;20160519;0;66.1694000;67.3126000;65.5750000;66.4940000;474464
USDRUB;D;20160520;0;66.7983000;67.7446000;65.4717000;66.7800000;422142
USDRUB;D;20160523;0;66.1625000;67.5973000;65.5321000;66.7170000;344020
USDRUB;D;20160524;0;67.2224000;67.2803000;65.6700000;66.0614000;415194
USDRUB;D;20160525;0;66.3457000;66.4909000;64.6346000;64.6346000;425300
USDRUB;D;20160526;0;65.3873000;65.8790000;64.3400000;65.4602000;409889
USDRUB;D;20160527;0;65.8473000;66.4075000;64.2489000;64.2489000;405310
USDRUB;D;20160530;0;66.0686000;66.2915000;65.1151000;65.5911000;298619
USDRUB;D;20160531;0;65.7489000;66.9955000;65.0053000;66.0515000;376269
USDRUB;D;20160601;0;66.5157000;67.5675000;65.9350000;66.9280000;442366
USDRUB;D;20160602;0;66.9300000;67.7056000;65.9350000;66.8960000;408012
USDRUB;D;20160603;0;66.9768000;67.1658000;64.3808000;64.4067000;407752
USDRUB;D;20160606;0;66.4130000;67.0618000;65.0220000;65.2540000;385773
USDRUB;D;20160607;0;65.3048000;65.6080000;64.1000000;64.5050000;399935
USDRUB;D;20160608;0;64.5957000;64.8262000;63.3680000;63.5840000;398878
USDRUB;D;20160609;0;63.6500000;64.4906000;63.0900000;64.2770000;406046
USDRUB;D;20160610;0;64.3063000;65.4858000;62.8407000;64.6784000;440486
USDRUB;D;20160613;0;64.2912000;66.0830000;62.6213000;65.5720000;213465
USDRUB;D;20160614;0;65.6545000;66.3047000;65.3500000;66.0550000;398663
USDRUB;D;20160615;0;66.0551000;66.2187000;64.9896000;65.4920000;385730
USDRUB;D;20160616;0;65.4930000;66.0913000;64.3473000;64.4620000;426092
USDRUB;D;20160617;0;65.1584000;65.7843000;63.8815000;63.8816000;380844
USDRUB;D;20160620;0;65.4286000;65.6050000;63.5360000;64.0238000;364893
USDRUB;D;20160621;0;64.2526000;65.5180000;63.5529000;63.5529000;384480
USDRUB;D;20160622;0;63.8422000;65.1447000;62.3623000;64.3872000;383120
USDRUB;D;20160623;0;64.6927000;65.7284000;62.6598000;63.4995000;392944
USDRUB;D;20160624;0;63.7100000;67.3234000;61.8950000;63.5931000;427311
USDRUB;D;20160627;0;65.2123000;66.7625000;63.5312000;65.3630000;392384
